date,sleep_hours,study_hours,screen_time,exercise_minutes,mood_score,energy_level,task_difficulty,study_sessions,distractions,goal_completion,subject,productivity_rating,day_of_week,month,is_weekend,is_exam_season,study_efficiency,distraction_rate,screen_study_ratio,wellness_score,optimal_sleep,goal_efficiency,study_sleep_ratio,exercise_study_ratio,sessions_per_hour,average_session_length
2022-05-10,7.5,8.5,3.1,28.0,7.6,6.4,10,4,3,100.0,25,10,1,5,0,1,2.125,0.75,0.3647058823529412,5.608333333333333,1,11.764705882352942,1.1333333333333333,3.2941176470588234,0.47058823529411764,2.125
2023-04-30,9.0,8.0,14.921051987710213,82.0,10.0,9.1,7,4,4,100.0,8,10,6,4,1,1,2.0,1.0,1.8651314984637766,7.708333333333334,1,12.5,0.8888888888888888,10.25,0.5,2.0
2025-08-30,5.0,5.7,6.8,15.0,4.9,5.3,6,6,4,69.0,9,10,5,8,1,0,0.9500000000000001,0.6666666666666666,1.1929824561403508,3.925,0,12.105263157894736,1.1400000000000001,2.631578947368421,1.0526315789473684,0.9500000000000001
2023-02-03,3.6,5.9,4.2,18.0,6.0,7.0,7,1,4,80.0,9,10,4,2,0,0,5.9,4.0,0.711864406779661,4.300000000000001,0,13.559322033898304,1.6388888888888888,3.0508474576271185,0.1694915254237288,5.9
2021-01-14,6.2,4.2,4.4,25.0,8.1,7.5,7,3,1,66.0,5,10,3,1,0,0,1.4000000000000001,0.3333333333333333,1.0476190476190477,5.658333333333333,0,15.714285714285714,0.6774193548387097,5.9523809523809526,0.7142857142857143,1.4000000000000001
2025-12-22,4.1,6.9,7.7,0.0,5.1,6.1,8,6,7,79.0,3,9,0,12,0,1,1.1500000000000001,1.1666666666666667,1.1159420289855073,3.8249999999999997,0,11.44927536231884,1.6829268292682928,0.0,0.8695652173913043,1.1500000000000001
2022-10-25,5.8,12.0,1.4,25.0,6.6,7.7,7,7,3,100.0,21,10,1,10,0,1,1.7142857142857142,0.42857142857142855,0.11666666666666665,5.325,0,8.333333333333334,2.0689655172413794,5.0,0.5833333333333334,1.7142857142857142
2024-08-05,5.7,2.0,9.8,23.0,6.0,6.8,8,4,8,31.0,5,5,0,8,0,0,0.5,2.0,4.9,4.816666666666666,0,15.5,0.3508771929824561,11.5,2.0,0.5
2023-11-01,4.9,8.4,2.7,44.0,6.2,5.9,7,4,2,100.0,10,10,2,11,0,1,2.1,0.5,0.32142857142857145,4.616666666666666,0,11.904761904761905,1.7142857142857142,5.238095238095238,0.47619047619047616,2.1
2023-02-10,7.1,6.0,3.6,55.0,8.0,9.8,6,3,0,87.0,18,10,4,2,0,0,2.0,0.0,0.6,6.683333333333333,1,14.5,0.8450704225352114,9.166666666666666,0.5,2.0
2023-02-27,9.0,2.1,3.4,32.0,7.7,8.2,10,4,3,55.0,18,10,0,2,0,0,0.525,0.75,1.6190476190476188,6.491666666666666,1,26.19047619047619,0.23333333333333334,15.238095238095237,1.9047619047619047,0.525
2023-02-21,7.8,5.6,2.9,19.0,6.3,7.9,7,4,2,71.0,3,10,1,2,0,0,1.4,0.5,0.5178571428571429,5.658333333333333,1,12.678571428571429,0.717948717948718,3.3928571428571432,0.7142857142857143,1.4
2021-10-02,5.0,9.5,7.0,21.0,4.5,5.9,6,1,4,100.0,8,10,5,10,1,1,9.5,4.0,0.7368421052631579,4.025,0,10.526315789473685,1.9,2.210526315789474,0.10526315789473684,9.5
2025-08-18,7.8,5.7,4.1,45.0,8.7,9.3,9,3,1,91.0,25,10,0,8,0,0,1.9000000000000001,0.3333333333333333,0.719298245614035,6.825,1,15.964912280701753,0.7307692307692308,7.894736842105263,0.5263157894736842,1.9000000000000001
2025-02-27,6.9,2.1,4.7,29.0,5.6,6.9,9,1,4,56.0,17,7,3,2,0,0,2.1,4.0,2.238095238095238,5.091666666666666,0,26.666666666666664,0.30434782608695654,13.809523809523808,0.47619047619047616,2.1
2023-05-03,4.9,10.0,2.6,7.0,6.4,6.8,7,3,3,100.0,15,10,2,5,0,1,3.3333333333333335,1.0,0.26,4.583333333333334,0,10.0,2.0408163265306123,0.7,0.3,3.3333333333333335
2022-08-17,5.0,2.9,7.7,13.0,6.1,6.4,8,6,3,51.0,5,8,2,8,0,0,0.48333333333333334,0.5,2.6551724137931036,4.483333333333333,0,17.586206896551726,0.58,4.482758620689656,2.0689655172413794,0.48333333333333334
2022-09-07,6.9,2.4,2.5,5.0,7.9,7.0,6,7,2,63.0,3,10,2,9,0,0,0.34285714285714286,0.2857142857142857,1.0416666666666667,5.491666666666667,0,26.25,0.34782608695652173,2.0833333333333335,2.916666666666667,0.34285714285714286
2020-09-02,7.9,4.1,5.0,33.0,7.7,8.5,3,4,5,71.0,13,10,2,9,0,0,1.025,1.25,1.2195121951219514,6.300000000000001,1,17.31707317073171,0.5189873417721518,8.048780487804878,0.9756097560975611,1.025
2022-08-29,5.1,5.2,8.3,3.0,5.4,6.1,5,7,5,51.0,22,9,0,8,0,0,0.7428571428571429,0.7142857142857143,1.5961538461538463,4.175000000000001,0,9.807692307692307,1.019607843137255,0.5769230769230769,1.346153846153846,0.7428571428571429
2024-05-14,6.3,6.4,4.6,20.0,6.6,6.1,5,5,3,96.0,6,10,1,5,0,1,1.28,0.6,0.7187499999999999,4.916666666666667,0,15.0,1.015873015873016,3.125,0.78125,1.28
2023-10-01,7.2,9.2,2.6,40.0,8.0,9.0,5,5,1,100.0,23,10,6,10,1,1,1.8399999999999999,0.2,0.28260869565217395,6.383333333333333,1,10.869565217391305,1.2777777777777777,4.347826086956522,0.5434782608695653,1.8399999999999999
2020-06-02,6.8,7.8,4.5,16.0,6.4,7.3,10,7,4,100.0,17,10,1,6,0,0,1.1142857142857143,0.5714285714285714,0.576923076923077,5.258333333333334,0,12.820512820512821,1.1470588235294117,2.0512820512820515,0.8974358974358975,1.1142857142857143
2021-05-30,6.1,10.0,5.5,29.0,7.4,6.8,6,5,4,100.0,17,10,6,5,1,1,2.0,0.8,0.55,5.325,0,10.0,1.639344262295082,2.9,0.5,2.0
2022-12-02,6.8,6.4,5.8,23.0,6.9,6.5,8,1,2,94.0,19,10,4,12,0,1,6.4,2.0,0.9062499999999999,5.325,0,14.6875,0.8285714285714285,3.59375,0.15625,6.4
2021-12-29,5.7,2.3,9.5,26.0,6.8,4.3,8,2,5,49.0,3,7,2,12,0,1,1.15,2.5,4.130434782608696,4.416666666666667,0,21.304347826086957,0.40350877192982454,11.304347826086957,0.8695652173913044,1.15
2024-03-28,5.9,1.4,7.3,52.0,7.2,6.3,9,3,5,39.0,23,9,3,3,0,1,0.4666666666666666,1.6666666666666667,5.214285714285714,5.283333333333334,0,27.857142857142858,0.23728813559322032,37.142857142857146,2.142857142857143,0.4666666666666666
2023-10-22,8.0,6.2,1.3,50.0,8.1,7.1,2,7,0,91.0,6,10,6,10,1,1,0.8857142857142858,0.0,0.20967741935483872,6.216666666666668,1,14.67741935483871,0.775,8.064516129032258,1.129032258064516,0.8857142857142858
2023-03-02,8.3,3.5,8.2,20.0,7.2,6.9,7,2,10,48.0,14,6,3,3,0,1,1.75,5.0,2.3428571428571425,5.766666666666667,1,13.714285714285714,0.4216867469879518,5.714285714285714,0.5714285714285714,1.75
2023-12-16,6.1,3.5,3.3,64.0,6.9,7.1,7,2,1,60.0,5,10,5,12,1,1,1.75,0.5,0.9428571428571428,5.325,0,17.142857142857142,0.5737704918032788,18.285714285714285,0.5714285714285714,1.75
2021-03-31,8.8,9.5,3.0,41.0,8.2,8.1,6,1,2,100.0,18,10,2,3,0,1,9.5,2.0,0.3157894736842105,6.616666666666667,1,10.526315789473685,1.0795454545454544,4.315789473684211,0.10526315789473684,9.5
2024-04-04,6.8,7.6,1.6,62.0,7.0,7.6,6,4,2,88.0,22,10,3,4,0,1,1.9,0.5,0.2105263157894737,5.325,0,11.578947368421053,0.8285714285714285,8.157894736842106,0.5263157894736842,1.9
2020-03-30,6.2,4.4,2.5,18.0,7.6,6.1,5,1,3,62.0,23,10,0,3,0,1,4.4,3.0,0.5681818181818181,5.125,0,14.09090909090909,0.7096774193548387,4.090909090909091,0.22727272727272727,4.4
2024-04-30,7.7,9.3,3.3,42.0,9.0,7.1,7,3,1,100.0,25,10,1,4,0,1,3.1,0.3333333333333333,0.3548387096774193,6.299999999999999,1,10.75268817204301,1.2077922077922079,4.516129032258064,0.3225806451612903,3.1
2021-11-19,4.0,1.9,7.8,19.0,5.3,5.4,10,7,10,44.0,18,4,4,11,0,1,0.2714285714285714,1.4285714285714286,4.105263157894737,3.8333333333333335,0,23.157894736842106,0.475,10.0,3.68421052631579,0.2714285714285714
2021-12-14,6.2,1.1,5.3,25.0,3.0,6.2,5,4,5,26.0,9,6,1,12,0,1,0.275,1.25,4.8181818181818175,4.058333333333333,0,23.636363636363633,0.1774193548387097,22.727272727272727,3.6363636363636362,0.275
2025-06-07,6.8,7.1,3.6,14.0,7.8,7.4,6,5,4,91.0,6,10,5,6,1,0,1.42,0.8,0.5070422535211268,5.616666666666666,0,12.816901408450704,1.0441176470588236,1.971830985915493,0.7042253521126761,1.42
2023-08-22,4.6,3.9,3.7,22.0,7.2,6.3,9,6,3,65.0,17,10,1,8,0,0,0.65,0.5,0.9487179487179488,4.708333333333334,0,16.666666666666668,0.8478260869565218,5.641025641025641,1.5384615384615385,0.65
2025-02-18,7.0,5.6,6.2,8.0,7.1,5.7,6,7,3,74.0,10,10,1,2,0,0,0.7999999999999999,0.42857142857142855,1.1071428571428572,5.016666666666667,1,13.214285714285715,0.7999999999999999,1.4285714285714286,1.25,0.7999999999999999
2025-03-02,6.0,5.9,4.4,20.0,6.2,5.4,9,6,5,70.0,23,9,6,3,1,1,0.9833333333333334,0.8333333333333334,0.7457627118644068,4.566666666666667,0,11.864406779661016,0.9833333333333334,3.389830508474576,1.0169491525423728,0.9833333333333334
2023-01-06,6.4,4.6,7.4,27.0,7.7,5.8,9,1,3,65.0,8,10,4,1,0,0,4.6,3.0,1.6086956521739133,5.2,0,14.130434782608697,0.7187499999999999,5.869565217391305,0.2173913043478261,4.6
2020-10-29,9.4,5.4,3.6,0.0,7.9,6.9,8,3,5,74.0,13,10,3,10,0,1,1.8,1.6666666666666667,0.6666666666666666,6.050000000000001,0,13.703703703703702,0.574468085106383,0.0,0.5555555555555555,1.8
2024-11-09,7.5,8.2,2.0,42.0,8.8,7.8,5,2,2,100.0,12,10,5,11,1,1,4.1,1.0,0.24390243902439027,6.375,1,12.195121951219512,1.0933333333333333,5.121951219512195,0.24390243902439027,4.1
2021-06-20,6.7,6.6,6.6,28.0,8.6,8.0,8,2,6,67.0,16,10,6,6,1,0,3.3,3.0,1.0,6.058333333333334,0,10.151515151515152,0.9850746268656716,4.242424242424242,0.30303030303030304,3.3
2024-03-21,3.6,8.6,2.4,9.0,5.1,4.2,10,6,3,100.0,17,10,3,3,0,1,1.4333333333333333,0.5,0.27906976744186046,3.3,0,11.627906976744187,2.388888888888889,1.0465116279069768,0.6976744186046512,1.4333333333333333
2024-06-18,8.4,7.2,4.3,38.0,6.2,10.0,5,7,1,90.0,22,10,1,6,0,0,1.0285714285714287,0.14285714285714285,0.5972222222222222,6.466666666666667,1,12.5,0.8571428571428571,5.277777777777778,0.9722222222222222,1.0285714285714287
2023-12-04,7.3,1.1,3.8,25.0,6.9,5.9,10,6,2,39.0,7,8,0,12,0,1,0.18333333333333335,0.3333333333333333,3.454545454545454,5.325,1,35.45454545454545,0.15068493150684933,22.727272727272727,5.454545454545454,0.18333333333333335
2021-11-20,9.0,8.1,6.5,17.0,7.9,9.0,10,1,4,78.0,17,10,5,11,1,1,8.1,4.0,0.8024691358024691,6.616666666666666,1,9.62962962962963,0.8999999999999999,2.0987654320987654,0.1234567901234568,8.1
2023-01-23,5.4,4.8,5.6,8.0,6.6,6.6,6,1,6,61.0,9,10,0,1,0,0,4.8,6.0,1.1666666666666667,4.716666666666667,0,12.708333333333334,0.8888888888888888,1.6666666666666667,0.20833333333333334,4.8
2020-03-18,7.9,5.4,6.3,23.0,9.3,5.6,3,7,3,71.0,15,10,2,3,0,1,0.7714285714285715,0.42857142857142855,1.1666666666666665,5.8916666666666675,1,13.148148148148147,0.6835443037974683,4.259259259259259,1.2962962962962963,0.7714285714285715
2025-06-20,8.0,5.2,0.6,28.0,8.0,9.1,5,4,2,86.0,9,10,4,6,0,0,1.3,0.5,0.11538461538461538,6.508333333333334,1,16.538461538461537,0.65,5.384615384615384,0.7692307692307692,1.3
2021-02-23,8.3,7.0,3.0,67.0,9.5,8.1,6,2,4,93.0,23,10,1,2,0,0,3.5,2.0,0.42857142857142855,7.033333333333333,1,13.285714285714286,0.8433734939759036,9.571428571428571,0.2857142857142857,3.5
2022-03-25,6.2,1.8,7.1,23.0,6.0,6.2,9,2,8,49.0,5,6,4,3,0,1,0.9,4.0,3.944444444444444,4.791666666666666,0,27.22222222222222,0.2903225806451613,12.777777777777777,1.1111111111111112,0.9
2025-10-17,6.4,3.4,7.2,5.0,5.8,5.8,8,4,6,57.0,7,9,4,10,0,1,0.85,1.5,2.1176470588235294,4.541666666666667,0,16.764705882352942,0.53125,1.4705882352941178,1.1764705882352942,0.85
