date,sleep_hours,study_hours,screen_time,exercise_minutes,mood_score,energy_level,task_difficulty,study_sessions,distractions,goal_completion,subject,productivity_rating
2022-05-10,7.5,8.5,3.1,28.0,7.6,6.4,10,4,3,100.0,Research,10
2023-04-30,9.0,8.0,14.921051987710213,82.0,10.0,9.1,7,4,4,100.0,Database Systems,10
2025-08-30,5.0,5.7,6.8,15.0,4.9,5.3,6,6,4,69.0,Economics,10
2023-02-03,3.6,5.9,4.2,18.0,6.0,7.0,7,1,4,80.0,Economics,10
2021-01-14,6.2,4.2,4.4,25.0,8.1,7.5,7,3,1,66.0,Computer Science,10
2025-12-22,4.1,6.9,7.7,0.0,5.1,6.1,8,6,7,79.0,Chemistry,9
2022-10-25,5.8,12.0,1.4,,6.6,7.7,7,7,3,100.0,Programming,10
2024-08-05,5.7,2.0,9.8,23.0,6.0,6.8,8,4,8,31.0,Computer Science,5
2023-11-01,4.9,8.4,2.7,44.0,6.2,5.9,7,4,2,100.0,Electronics,10
2023-02-10,7.1,6.0,3.6,55.0,8.0,9.8,6,3,0,87.0,Operating Systems,10
2023-02-27,9.0,2.1,3.4,32.0,7.7,8.2,10,4,3,55.0,Operating Systems,10
2023-02-21,7.8,5.6,2.9,19.0,6.3,7.9,7,4,2,71.0,Chemistry,10
2021-10-02,5.0,9.5,7.0,21.0,4.5,5.9,6,1,4,100.0,Database Systems,10
2025-08-18,7.8,5.7,4.1,45.0,8.7,9.3,9,3,1,91.0,Research,10
2025-02-27,6.9,2.1,4.7,29.0,5.6,6.9,9,1,4,56.0,Mathematics,7
2023-05-03,4.9,10.0,2.6,7.0,6.4,6.8,7,3,3,100.0,History,10
2022-08-17,5.0,2.9,7.7,13.0,6.1,6.4,8,6,3,51.0,Computer Science,8
2022-09-07,6.9,2.4,2.5,5.0,7.9,7.0,6,7,2,63.0,Chemistry,10
2020-09-02,7.9,4.1,5.0,33.0,7.7,8.5,3,4,5,71.0,Exam Revision,10
2022-08-29,5.1,5.2,8.3,3.0,5.4,6.1,5,7,5,51.0,Project Work,9
2024-05-14,6.3,6.4,4.6,20.0,6.6,6.1,5,5,3,96.0,Current Affairs,10
2023-10-01,7.2,9.2,2.6,40.0,8.0,9.0,5,5,1,100.0,Quantitative Aptitude,10
2020-06-02,6.8,7.8,4.5,16.0,6.4,7.3,10,7,4,100.0,Mathematics,10
2021-05-30,6.1,10.0,5.5,29.0,7.4,,6,5,4,100.0,Mathematics,10
2022-12-02,,6.4,5.8,23.0,,6.5,8,1,2,94.0,Physics,10
2021-12-29,5.7,2.3,9.5,26.0,6.8,4.3,8,2,5,49.0,Chemistry,7
2024-03-28,5.9,1.4,7.3,52.0,7.2,6.3,9,3,5,39.0,Quantitative Aptitude,9
2023-10-22,8.0,6.2,1.3,50.0,8.1,7.1,2,7,0,91.0,Current Affairs,10
2023-03-02,8.3,3.5,8.2,20.0,7.2,6.9,7,2,10,48.0,Geography,6
2023-12-16,6.1,3.5,3.3,64.0,,7.1,7,2,1,60.0,Computer Science,10
2021-03-31,8.8,9.5,3.0,41.0,8.2,8.1,6,1,2,100.0,Operating Systems,10
2024-04-04,,7.6,1.6,62.0,7.0,7.6,6,4,2,88.0,Project Work,10
2020-03-30,6.2,4.4,2.5,18.0,7.6,6.1,5,1,3,62.0,Quantitative Aptitude,10
2024-04-30,7.7,9.3,3.3,42.0,9.0,7.1,7,3,1,100.0,Research,10
2021-11-19,4.0,1.9,7.8,19.0,5.3,5.4,10,7,10,44.0,Operating Systems,4
2021-12-14,6.2,1.1,5.3,25.0,3.0,6.2,5,4,5,26.0,Economics,6
2025-06-07,6.8,7.1,3.6,14.0,7.8,7.4,6,5,4,91.0,Current Affairs,10
2023-08-22,4.6,3.9,3.7,22.0,7.2,6.3,9,6,3,65.0,Mathematics,10
2025-02-18,7.0,5.6,6.2,8.0,7.1,5.7,6,7,3,74.0,Electronics,10
2025-03-02,6.0,5.9,4.4,20.0,6.2,5.4,9,6,5,70.0,Quantitative Aptitude,9
2023-01-06,6.4,4.6,7.4,27.0,7.7,5.8,9,1,3,65.0,Database Systems,10
2020-10-29,9.4,5.4,3.6,0.0,7.9,6.9,8,3,5,74.0,Exam Revision,10
2024-11-09,7.5,8.2,2.0,42.0,8.8,7.8,5,2,2,100.0,English,10
2021-06-20,6.7,6.6,6.6,28.0,8.6,8.0,8,2,6,67.0,Machine Learning,10
2024-03-21,3.6,8.6,2.4,9.0,5.1,4.2,10,6,3,100.0,Mathematics,10
2024-06-18,8.4,7.2,4.3,38.0,6.2,10.0,5,7,1,90.0,Project Work,10
2023-12-04,7.3,1.1,3.8,25.0,,5.9,10,6,2,39.0,Data Structures,8
2021-11-20,9.0,8.1,6.5,17.0,7.9,9.0,10,1,4,78.0,Mathematics,10
2023-01-23,5.4,4.8,5.6,8.0,6.6,6.6,6,1,6,61.0,Economics,10
2020-03-18,7.9,5.4,6.3,23.0,9.3,5.6,3,7,3,71.0,History,10
2025-06-20,8.0,5.2,0.6,28.0,8.0,9.1,5,4,2,86.0,Economics,10
2021-02-23,8.3,7.0,3.0,67.0,9.5,8.1,6,2,4,93.0,Quantitative Aptitude,10
2022-03-25,6.2,1.8,7.1,23.0,6.0,6.2,9,2,8,49.0,Computer Science,6
2025-10-17,6.4,3.4,7.2,5.0,5.8,5.8,8,4,6,57.0,Data Structures,9
2020-12-21,6.2,8.8,4.6,8.0,5.6,5.9,6,6,5,100.0,Data Structures,10
2025-01-28,7.5,3.0,6.6,19.0,6.3,7.2,6,5,2,66.0,Engineering Mathematics,10
2021-01-20,7.8,4.9,3.8,31.0,8.4,6.7,6,7,3,68.0,Electronics,10
2024-02-01,7.0,5.6,6.2,32.0,6.2,7.0,4,7,5,66.0,Economics,10
2021-12-23,9.3,5.0,6.1,24.0,7.9,9.6,6,6,3,63.0,Computer Networks,10
2024-08-28,6.2,1.8,8.2,18.0,7.6,,7,6,6,41.0,Accountancy,8
2020-11-08,7.7,3.4,4.5,42.0,9.0,7.9,10,2,1,66.0,Machine Learning,10
2022-04-02,5.3,3.6,8.3,9.0,5.2,6.7,8,2,7,60.0,Engineering Mathematics,6
2022-06-23,7.2,4.9,3.7,35.0,6.1,7.1,8,6,2,91.0,Research,10
2021-06-04,5.7,6.1,4.8,27.0,6.0,5.6,4,5,4,79.0,Exam Revision,10
2025-09-12,6.8,8.9,4.3,24.0,4.8,5.6,5,5,5,91.0,Programming,10
2025-01-19,6.7,1.5,8.1,6.0,6.6,4.5,4,3,7,53.0,Biology,5
2022-01-27,6.4,6.9,1.3,42.0,6.6,9.5,3,6,3,77.0,Business Studies,10
2024-07-22,6.4,7.7,5.6,21.0,7.1,5.0,8,3,5,85.0,Computer Science,10
2022-11-06,6.2,5.3,5.5,71.0,8.2,8.3,4,7,4,87.0,Reasoning,10
2021-05-03,5.8,7.5,6.2,7.0,7.6,3.3,6,2,4,100.0,Current Affairs,10
2023-01-26,2.5,8.6,7.7,0.0,6.3,2.9,8,6,3,100.0,Biology,10
2020-11-06,6.6,3.9,8.4,,6.4,5.7,7,2,4,75.0,Machine Learning,9
2025-08-12,7.8,4.3,5.5,54.0,9.6,6.5,4,7,1,84.0,Reasoning,10
2023-08-18,5.7,8.1,5.1,11.0,6.0,6.1,6,5,3,100.0,Reasoning,10
2021-12-27,4.6,4.4,6.7,20.0,8.3,6.5,9,5,5,60.0,Chemistry,10
2024-06-28,6.8,2.4,4.4,27.0,6.3,6.0,4,3,1,55.0,English,9
2020-02-06,6.5,5.3,4.5,47.0,8.2,,7,3,5,61.0,Electronics,10
2023-07-09,6.6,4.9,4.9,29.0,5.7,7.4,7,1,5,74.0,Business Studies,10
2021-03-01,8.8,7.2,12.279005359624962,34.0,8.2,8.1,9,4,1,86.0,Programming,10
2021-11-30,7.6,8.7,3.7,36.0,6.9,7.6,8,5,3,100.0,Machine Learning,10
2022-07-06,5.8,2.5,12.0,12.0,5.3,6.7,9,3,8,35.0,Computer Science,5
2025-06-29,5.6,1.4,6.2,25.0,5.6,6.9,6,2,5,41.0,Business Studies,7
2022-05-18,,7.9,4.0,17.0,6.1,5.4,4,5,5,95.0,History,10
2024-05-26,6.8,3.3,4.7,34.0,8.4,8.4,9,4,5,61.0,Computer Science,9
2022-10-13,5.7,8.1,2.3,,5.9,8.5,10,2,5,100.0,Operating Systems,10
2025-08-05,6.5,1.9,7.5,15.0,7.6,5.7,9,4,5,54.0,Data Structures,7
2025-05-03,7.7,6.2,3.2,27.0,7.1,7.0,4,7,1,89.0,Exam Revision,10
2025-06-09,6.7,8.8,3.2,18.0,5.8,8.0,5,4,6,96.0,Economics,10
