iter	RMSE
0	1.538870906
1	1.483400038
2	1.427830894
3	1.376907273
4	1.327622735
5	1.281661734
6	1.23946215
7	1.199398673
8	1.161049068
9	1.12479645
10	1.090583885
11	1.05785296
12	1.026623699
13	0.9979891169
14	0.9702891973
15	0.9456145823
16	0.9215168322
17	0.8982025847
18	0.8764679374
19	0.8571128641
20	0.8386056179
21	0.8216826051
22	0.8051444816
23	0.7900640591
24	0.7748672797
25	0.7609611996
26	0.7481149723
27	0.7361899315
28	0.7253666854
29	0.7149851231
30	0.7051784696
31	0.6960687826
32	0.6878587991
33	0.6796122947
34	0.6718361504
35	0.6649696167
36	0.6580530246
37	0.6514591195
38	0.6454854775
39	0.6396662278
40	0.6344164586
41	0.6301498882
42	0.6262549617
43	0.6221980203
44	0.6184142202
45	0.6145088352
46	0.6109342346
47	0.6076508616
48	0.6047078636
49	0.6017828331
50	0.5988592176
51	0.5959447387
52	0.5936593305
53	0.591306638
54	0.5891613817
55	0.5868593153
56	0.5852928208
57	0.5834120489
58	0.5817376393
59	0.5800498686
60	0.5784581169
61	0.576831435
62	0.5757111606
63	0.5743344498
64	0.573152809
65	0.5719704735
66	0.5705319274
67	0.5694249959
68	0.568543225
69	0.5672965659
70	0.5664092881
71	0.5652838111
72	0.5644372912
73	0.5635857726
74	0.5627934536
75	0.5619374155
76	0.5610922141
77	0.5603683908
78	0.5595101147
79	0.5587387395
80	0.5579023798
81	0.5573978774
82	0.5567941678
83	0.5559813198
84	0.5553190569
85	0.5546140154
86	0.5541504055
87	0.5535630845
88	0.5528724139
89	0.5522802174
90	0.5514578336
91	0.5509888556
92	0.5504524402
93	0.5499339635
94	0.5495509556
95	0.5491194094
96	0.5485514019
97	0.5481959171
98	0.5477532661
99	0.5473814924
100	0.5470086865
101	0.5466498061
102	0.5461888913
103	0.5457125788
104	0.5453307904
105	0.5449504311
106	0.5445516403
107	0.5441905803
108	0.5439378268
109	0.5436638947
110	0.5433754438
111	0.5430670449
112	0.5426792744
113	0.5422923509
114	0.5417883085
115	0.541473336
116	0.5410234258
117	0.5405741507
118	0.5403234991
119	0.5400475775
120	0.5397605249
121	0.539440837
122	0.5391410383
123	0.5388129697
124	0.5385060064
125	0.5380560121
126	0.5377964145
127	0.5373787505
128	0.5370642283
129	0.5366789845
130	0.5363266189
131	0.5360273429
132	0.5357390295
133	0.5354212311
134	0.5351133839
135	0.5348136653
136	0.5343333722
137	0.5337142774
138	0.5333594853
139	0.5330607276
140	0.5328671015
141	0.5327129827
142	0.5324926087
143	0.5322251757
144	0.5319651354
145	0.5317494385
146	0.5314120347
147	0.5310898636
148	0.5306610139
149	0.5305435644
150	0.5300660333
151	0.5296691166
152	0.5291960275
153	0.5288721615
154	0.5286880962
155	0.5284046381
156	0.5280815402
157	0.527848636
158	0.5275905169
159	0.5273447529
160	0.5270885715
161	0.5268115189
162	0.5266386235
163	0.5263260051
164	0.5260129998
165	0.5256963209
166	0.5255286648
167	0.5252711527
168	0.5250152176
169	0.5247585304
170	0.5244562162
171	0.5242221312
172	0.5239119941
173	0.5235805522
174	0.523217686
175	0.5230141333
176	0.5225362078
177	0.5223108299
178	0.522065557
179	0.5219437097
180	0.5216868775
181	0.5215253045
182	0.5212800328
183	0.5210457394
184	0.52070078
185	0.5203629431
186	0.5199545885
