iter	Passed	Remaining
0	240	119797
1	343	85631
2	438	72663
3	536	66533
4	633	62763
5	729	60038
6	863	60804
7	984	60533
8	1120	61138
9	1268	62133
10	1380	61383
11	1523	61954
12	1623	60827
13	1733	60180
14	1841	59537
15	1940	58694
16	2045	58114
17	2153	57657
18	2268	57437
19	2365	56780
20	2474	56448
21	2586	56197
22	2700	56006
23	2796	55461
24	2899	55086
25	3001	54714
26	3105	54395
27	3207	54066
28	3313	53810
29	3414	53492
30	3500	52964
31	3598	52621
32	3690	52228
33	3769	51663
34	3877	51517
35	3983	51341
36	4080	51064
37	4191	50959
38	4301	50849
39	4396	50554
40	4509	50480
41	4618	50368
42	4736	50340
43	4831	50071
44	4940	49952
45	5057	49912
46	5161	49744
47	5275	49682
48	5372	49448
49	5469	49224
50	5585	49176
51	5686	48987
52	5793	48864
53	5897	48707
54	6009	48625
55	6107	48422
56	6214	48300
57	6323	48189
58	6435	48105
59	6542	47977
60	6649	47853
61	6769	47823
62	6863	47609
63	6973	47508
64	7113	47603
65	7250	47680
66	7359	47559
67	7428	47190
68	7548	47152
69	7600	46685
70	7644	46189
71	7718	45880
72	7782	45524
73	7872	45321
74	7963	45125
75	8027	44787
76	8086	44424
77	8148	44085
78	8226	43840
79	8279	43468
80	8316	43018
81	8350	42567
82	8387	42141
83	8421	41706
84	8459	41301
85	8492	40882
86	8526	40475
87	8562	40087
88	8680	40088
89	8794	40063
90	8875	39888
91	8946	39673
92	9085	39762
93	9175	39628
94	9296	39633
95	9374	39452
96	9450	39261
97	9551	39180
98	9656	39113
99	9743	38974
100	9852	38922
101	9982	38952
102	10074	38831
103	10175	38743
104	10282	38683
105	10388	38613
106	10530	38676
107	10644	38635
108	10777	38660
109	10847	38459
110	10967	38436
111	11076	38373
112	11180	38291
113	11317	38322
114	11419	38231
115	11530	38168
116	11635	38090
117	11748	38033
118	11869	38000
119	11985	37955
120	12112	37939
121	12217	37854
122	12332	37799
123	12449	37750
124	12559	37678
125	12664	37591
126	12765	37491
127	12829	37285
128	12917	37150
129	13007	37022
130	13096	36888
131	13196	36790
132	13290	36674
133	13490	36846
134	13584	36728
135	13677	36606
136	13770	36486
137	13876	36399
138	13981	36311
139	14082	36213
140	14188	36124
141	14290	36028
142	14388	35920
143	14489	35822
144	14600	35746
145	14702	35648
146	14814	35575
147	14926	35501
148	15021	35386
149	15128	35300
150	15244	35233
151	15345	35132
152	15454	35049
153	15555	34948
154	15632	34795
155	15709	34641
156	15766	34444
157	15827	34258
158	15891	34082
159	15984	33966
160	16077	33853
161	16180	33758
162	16289	33677
163	16393	33586
164	16501	33503
165	16595	33390
166	16694	33289
167	16803	33207
168	16906	33113
169	17033	33064
170	17140	32977
171	17224	32847
172	17303	32706
173	17396	32593
174	17492	32485
175	17582	32367
176	17647	32203
177	17719	32054
178	17819	31955
179	17932	31880
180	17996	31718
181	18061	31557
182	18157	31452
183	18213	31279
184	18285	31135
